shapeID,propertyLabel,propertyID,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,*Publication status,,xsd:anyURI,,info:eu-repo/semantics/,IRIstem,"The stage of the resource in the publishing workflow. Recommended practice is to use a publication status value from the following list, ordered according to the increasing level of maturity: / public draft / preprint / postprint / submitted manuscript / publication / updated publication. NOTE: Publication status should be used when there are several versions of the same resource, and publication status can be used for telling them apart. Status information should be accompanied with an appropriate date specification whenever such date can be obtained from the resource itself or metadata linked to it. OpenAire publication status code from https://guidelines.openaire.eu/en/latest/literature/field_publicationversion.html"
,Publisher,dct:publisher,,Organization,,,Name and URI of the organization
,*Related code,,xsd:anyURI,,,,Code (software applications) referenced in the resource. Recommended practice is to identify the code with a URI identifying either the code or a landing page through which the application or applications are accessed.
,*Related dataset,,xsd:anyURI,,,,Dataset or datasets referenced in the described scholarly resource. Recommended practice is to identify a dataset with a URI identifying either the dataset or a landing page through which the dataset is accessed.
,Relation,dct:relation,xsd:anyURI xsd:string,,,,"A related resorce. Recommended practice is to identify the related resource by means of a URI. If this is not possible or feasible, a string conforming to a formal identification system may be provided."
,Rights,dct:rights,xsd:anyURI xsd:string,,,,"Information about rights held in and over the resource. Recommended practice is to refer to a rights statement with a URI. If this is not possible or feasible, a literal value (name, label, or short text) may be provided."
,Rights Holder,dct:rightsHolder,xsd:anyURI xsd:string,,,,"A person or organization owning or managing rights over the resource. Recommended practice is to refer to the rights holder with a URI. If this is not possible or feasible, a literal value that identifies the rights holder may be provided."
,Subject,dct:subject,xsd:anyURI xsd:string,,,,A concept from a controlled vocabulary such as LCSH or MeSH
,Table of Contents,dct:tableOfContents,xsd:string,,,,A list of subunits of the resource.
,Title,dct:title,xsd:string,,,,A name given to the resource. Titles in different languages provided separately
,Type,dct:type,xsd:anyURI,,http://purl.org/coar/resource_type,IRIstem,"A term from COAR resource type vocabulary, http://purl.org/coar/resource_type"
,,,,,,,
Person,Affiliation,dct:affiliation,,Organization,,,"An organization to which an agent was affiliated when the resource was created. Recommended practice is to identify the affiliation with a URI. If this is not possible or feasible, a literal value that identifies the affiliated organization may be provided. It is also possible to give both the name and the URI. If a name is given, it should be provided in full and in hierarchical order, starting from the largest organizational unit. NOTE This element should not be used to provide the current (at the time the metadata is created) affiliation of the agent, or all affiliations the agent has had over time."
,Name,foaf:Name,xsd:string,,,,Name of person
,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,"Identifier for the person, such as ORCID"
,,,,,,,
,,,,,,,
Organization,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,Identifier for the organization
,Name,foaf:name,xsd:string,,,,Name of the organization
