shapeID,propertyLabel,propertyID,valueDatatype,valueShape,valueConstraint,valueConstraintType,note
,Publisher,dct:publisher,,Organization,,,Name and URI of the organization
,Related dataset,dct:relatedDataset,xsd:anyURI,,,,Dataset or datasets referenced in the described scholarly resource. Recommended practice is to identify a dataset with a URI identifying either the dataset or a landing page through which the dataset is accessed.
,Relation,dct:relation,xsd:anyURI,,,,URI
,Rights,dct:rights,xsd:anyURI xsd:string,,,,Free text or URI of the appropriate license
,Subject,dct:subject,,Subject,,,A concept from a controlled vocabulary such as LCSH or MeSH
,Title,dct:title,xsd:string,,,,"Free text, titles in different languages provided separately"
,Type,dct:type,xsd:anyURI,,http://purl.org/coar/resource_type,IRIstem,"A term from COAR resource type vocabulary, http://purl.org/coar/resource_type"
,,,,,,,
Person,Affiliation,dct:affiliation,,Organization,,,An organization to which an agent was affiliated when the resource was created. Recommended practice is to identify the affiliation with a URI. If this is not possible or feasible, a literal value that identifies the affiliated organization may be provided. It is also possible to give both the name and the URI. If a name is given, it should be provided in full and in hierarchical order, starting from the largest organizational unit. NOTE This element should not be used to provide the current (at the time the metadata is created) affiliation of the agent, or all affiliations the agent has had over time.
,Name,foaf:Name,xsd:string,,,,Name of person
,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,"Identifier for the person, such as ORCID"
,,,,,,,
,,,,,,,
Organization,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,Identifier for the organization
,Name,foaf:name,xsd:string,,,,Name of the organization
,,,,,,,
Subject,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,"Identifier for the subject, such as a value from http://id.loc.gov/authorities/subjects"
,Display label,rdf:label,xsd:string,,,,
,,,,,,,
,,,,,,,
Conference,Identifier,dct:identifier,xsd:anyURI xsd:string,,,,"Identifier for the conference, such as a specific conference URI"
,Name,foaf:name,xsd:string,,,,Name of the conference
,Date,dct:date,xsd:date,,,,Date or date range the conference was held
,Location,https://schema.org/location,xsd:string,,,,Location where the conference was held
,Organizer,https://schema.org/organizer,xsd:string,,,,Organizer of the conference
